name,city,state,quote,lat,lng,photo
Frank X Walker,Lexington,Kentucky,,38.0489,-84.5025,Frank
Dorian Hairston,Lexington,Kentucky,,38.0489,-84.5025,Dorian
Bianca Spriggs,Lexington,Kentucky,,38.0489,-84.5025,Bianca
Bill Withers,Stab Fork,West Virginia,,37.6871,-81.3315,Bill
Booker T Washington,Hale's Ford,Virginia,,37.1196,-79.717,Booker
Percy Sledge,Shefield,Alabama,,34.7651,-87.6986,Percy
Bessie Smith,Chattanooga,Tennessee,,35.0456,-85.3097,Bessie
Nina Simone,Tryon,North Carolina,,35.2082,-82.2384,Nina
August Wilson,Pittsburgh,Pennsylvania,,40.4406,-79.9959,August
Jeffrey Reddick,Jackson,Kentucky,,37.5531,-83.3835,Jeffrey
