CouncilDistrict,PercenCanopy,TotalAcres,CurrentCanopyAcres,GoalIncreaseCanopyAcres,GoalCanopyAcres,PropValMillContribute,GoalPovValMillContribute,EnergySavedMillKWH,GoalsEnergySavedMillKWH,EnergySavedVal,GoalsEnergySavedVal,AirQualityLbsPollutants,GoalAirQualityLbsPollutants,AirQualityVal,GoalAirQualityVal,CarbonStoredSequestTonsAnnually,GoalCarbonStoredSequestTonsAnnually,CarbonStoreSequestVal,GoalCarbonStoreSequestVal,RunoffGallsReduced,GoalRunoffGallsReduced,RunoffVal,GoalRunoffVal,,,,,,,,,,,,,,,,,
1,21.61,4408,953,370,1323,17.04,23.66,269699,374409,19537,27122,63367,111132,84578,113778,127094,171990,2460973,3319407,155890248,190448496,1211128,1479114,,,,,,,,,,,,,,,,,
2,17.97,7005,1259,843,2102,22.52,37.59,356297,594866,25810,43091,82402,176568,109970,180772,165251,273260,3199813,5273918,247734668,302587104,1924677,2350036,,,,,,,,,,,,,,,,,
3,24.41,2609,637,146,783,11.39,14,180271,221589,13059,16052,310720,65772,54601,67338,82048,101790,1588727,1964547,92251408,112714416,716711,875394,,,,,,,,,,,,,,,,,
4,31.92,3396,1084,0,0,19.39,0,306772,0,22222,0,71012,0,94760,0,142395,0,2757241,0,120077239,0,932893,0,,,,,,,,,,,,,,,,,
5,30.34,4647,1410,0,0,25.22,0,399030,0,28905,0,91095,0,121576,0,182691,0,3537515,0,164328283,0,1276684,0,,,,,,,,,,,,,,,,,
6,22.52,5778,1301,372,1673,23.27,29.92,368183,473459,26671,34297,83071,140532,110858,143878,166586,217490,3225655,4197557,204329186,240831696,1587470,1870414,,,,,,,,,,,,,,,,,
7,21.72,4663,1013,386,1399,18.12,25.02,286679,395917,20767,28680,67045,117516,89460,120314,134431,181870,2603026,3510091,164888941,201388848,1281038,1564082,,,,,,,,,,,,,,,,,
8,28.9,2835,819,32,851,14.65,15.22,231777,240833,16790,17446,41865,71484,69220,73186,104017,110630,1960420,2315159,100244928,122503152,778814,951418,,,,,,,,,,,,,,,,,
9,26.6,4324,1150,147,1297,20.57,23.2,325450,367051,23575,26589,73464,108948,98036,111542,147318,168610,2852558,3254173,152896165,186705744,1187866,1450046,,,,,,,,,,,,,,,,,
10,26.4,4397,1160,159,1319,20.75,23.59,328280,373277,23780,27040,74712,110796,99708,113434,149830,171470,2901200,3309371,155503409,189872688,1208122,1474642,,,,,,,,,,,,,,,,,
11,29.82,3393,1012,6,1018,18.10,18.21,286396,288094,20746,20869,66532,85512,88775,87548,133401,132340,2583095,2554162,119992506,146543136,932234,1138124,,,,,,,,,,,,,,,,,
12,22.61,7174,1622,530,2152,29.00,38.49,459026,609016,33251,44116,103132,180768,137645,185072,206838,279760,4005081,5399368,253702342,309784704,1971040,2405936,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
